,Computer Education and Instructional Technology,4,47,NULL,NULL
,"Educational Administration, Supervision, Planning & Economics",4,47,NULL,NULL
,Educational Program And Instruction,4,47,NULL,NULL
,English Language Education,4,47,NULL,NULL
,Environmental Education And Management,4,47,NULL,NULL
,Folklore Education,4,47,NULL,NULL
,Guidance And Psychological Counselling,4,47,NULL,NULL
,History Education,4,47,NULL,NULL
,Mathematics Education,4,47,NULL,NULL
,Music Education,4,47,NULL,NULL
,Special Education,4,47,NULL,NULL
,Preschool Education,4,47,NULL,NULL
,Architecture,4,26,NULL,NULL
,Biomedical Engineering,4,26,NULL,NULL
,Chemistry,4,26,NULL,NULL
